Database???Annual by Province
Indicators£ºGross Regional Product(100 million yuan)
Year£ºLATEST20
Region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Hainan,,4462.54,4053.20,3702.76,3500.72,3177.56,2855.54,2522.66,2064.50,1654.21,1503.06,1254.17,1065.67,918.75,819.66,713.96,642.73,579.17,526.82,476.67
Chongqing,,19424.73,17740.59,15717.27,14262.60,12783.26,11409.60,10011.37,7925.58,6530.01,5793.66,4676.13,3907.23,3467.72,3034.58,2555.72,2232.86,1976.86,1791.00,1663.20
Sichuan,,36980.22,32934.54,30053.10,28536.66,26392.07,23872.80,21026.68,17185.48,14151.28,12601.23,10562.39,8690.24,7385.10,6379.63,5333.09,4725.01,4293.49,3928.20,3649.12
Guizhou,,13540.83,11776.73,10502.56,9266.39,8086.86,6852.20,5701.84,4602.16,3912.68,3561.56,2884.11,2338.98,2005.42,1677.80,1426.34,1243.43,1133.27,1029.92,937.50
Yunnan,,16376.34,14788.42,13619.17,12814.59,11832.31,10309.47,8893.12,7224.18,6169.75,5692.12,4772.52,3988.14,3462.73,3081.91,2556.02,2312.82,2138.31,2011.19,1899.82
Tibet,,1310.92,1151.41,1026.39,920.83,815.67,701.03,605.83,507.46,441.36,394.85,341.43,290.76,248.80,220.34,185.09,162.04,139.16,117.80,105.98
Shaanxi,,21898.81,19399.59,18021.86,17689.94,16205.45,14453.68,12512.30,10123.48,8169.80,7314.58,5757.29,4743.61,3933.72,3175.58,2587.72,2253.39,2010.62,1804.00,1592.64
Gansu,,7459.90,7200.37,6790.32,6836.82,6330.69,5650.20,5020.37,4120.75,3387.56,3166.82,2703.98,2277.35,1933.98,1688.49,1399.83,1232.03,1125.37,1052.88,956.32
Qinghai,,2624.83,2572.49,2417.05,2303.32,2122.06,1893.54,1670.44,1350.43,1081.27,1018.62,797.35,648.50,543.32,466.10,390.20,340.65,300.13,263.68,239.38
Ningxia,,3443.56,3168.59,2911.77,2752.10,2577.57,2341.29,2102.21,1689.65,1353.31,1203.92,919.11,725.90,612.61,537.11,445.36,377.16,337.44,295.02,264.58
Xinjiang,,10881.96,9649.70,9324.80,9273.46,8443.84,7505.31,6610.05,5437.47,4277.05,4183.21,3523.16,3045.26,2604.19,2209.09,1886.35,1612.65,1491.60,1363.56,1163.17
"Note:Gross regional product data applies to ""Industrial classification for national economic ""(GB/T4754-2002) In 2004 and after. And gross regional product data applies to ""Industrial classification for national economic ""(GB/T4754-1994) before 2004."
Data Sources£ºNational Bureau of Statistics
